title,year,synopsis
Hombre Géminis,2019,Un francotirador recién retirado se enfrenta a una versión clonada de sí mismo más joven y más fuerte que una agencia gubernamental encubierta ha diseñado para matarlo.
Chicos malos de por vida,2020,"Incluso los chicos malos crecen, y el policía de Miami Marcus está listo para su merecida jubilación, hasta que su socio Mike es el blanco de un cártel de drogas despiadado."
Brillante,2017,"En un LA plagado de tensiones entre especies, un policía humano y su compañero orco tropiezan con un objeto poderoso y se ven envueltos en una guerra territorial profetizada."
Belleza colateral,2016,Un ejecutivo de publicidad que lucha con el dolor encuentra sentido al escribir cartas a destinatarios poco convencionales mientras colegas cariñosos traman una artimaña.
Concusión,2015,Este drama se basa en la historia real de un patólogo forense que estableció un polémico vínculo entre los jugadores de la NFL. conmociones cerebrales y trastornos cerebrales.
hombres de negro,1997,"Un policía astuto se alista para trabajar con un veterano agente del gobierno en un equipo que monitorea a los extraterrestres que viven en la Tierra, sin que el público lo sepa."
Hombres de negro II,2002,Will Smith y Tommy Lee Jones repiten sus papeles como dos agentes del gobierno no oficiales y muy reservados que se ocupan de todas las cosas malvadas y alienígenas.
Después de la tierra,2013,"Después de un aterrizaje forzoso en el planeta Tierra abandonado hace mucho tiempo, un niño se propone encontrar un faro que lo salvará a él y a su padre moribundo de la perdición."
Cuento de tiburón,2004,"En este cuento animado, un pequeño pez con grandes aspiraciones y un gran tiburón blanco con un secreto sorprendente forman una amistad inverosímil."
La búsqueda de la felicidad,2006,"Cuando Chris y su hijo son desalojados, se enfrentan a tiempos difíciles cuando Chris, desesperado, acepta una pasantía no remunerada en una firma de corretaje de valores."
Hancock,2008,"Will Smith interpreta a Hancock, un superhéroe sin recursos que se ve obligado a contratar a un experto en relaciones públicas para que lo ayude a reparar su imagen."
Chicos malos,1995,"En esta trepidante película de acción, dos policías de narcóticos de Miami están tras la pista de un maestro ladrón que ha robado $100 millones en heroína."
Siete libras,2008,"Agobiado por un oscuro secreto, el agente del IRS Ben Thomas intenta mejorar la vida de siete extraños que necesitan una segunda oportunidad."
Enganche,2005,"El suave y sexy Hitch ayuda a los clientes a dar una excelente primera impresión en una cita, pero se desanima cuando una encantadora reportera comienza a husmear en su negocio."
Chicos malos II,2003,"En esta secuela hipercinética, un par de policías de narcóticos de Miami investigan la conexión de un capo cubano de la droga con la afluencia de éxtasis en Florida."
